race_id,HorseName,SexAge,finish_pos,is_top3,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,JockeyId,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
202543070501,ウインディポイント,牝3,1,1,2025/07/05,船橋,曇,1,3歳八,,8,5,5,1.2,1.0,1,岡村健司,05562,54.0,ダ1200,,良,-10.0,1:16.9,-0.3,29.0,1-3-2,36.8-40.1,40.1,416(0),,,(チープインパクト),170.0
202543070501,チープインパクト,セ3,2,1,2025/07/05,船橋,曇,1,3歳八,,8,4,4,6.2,2.0,2,濱田達也,a0236,56.0,ダ1200,,良,-10.0,1:17.2,0.3,25.0,3-1-1,36.8-40.1,40.4,458(-5),,,ウインディポイント,68.0
202543070501,チープインパクト,セ3,2,1,2025/06/06,船橋,晴,1,3歳七,,11,5,5,9.4,5.0,5,濱田達也,a0236,56.0,ダ1200,,良,-6.0,1:19.3,2.9,1.0,9-7-6,37.1-39.3,40.6,463(-23),,,プロデッツァ,17.0
202543070501,チープインパクト,セ3,2,1,2025/05/09,船橋,曇,1,3歳七,,11,6,7,10.4,3.0,6,濱田達也,a0236,56.0,ダ1200,,良,-7.0,1:20.5,3.2,-16.0,6-7-8,37.0-40.3,42.2,486(0),,,ザーシッダレイ,
202543070501,ペールガッサン,牝3,3,1,2025/07/05,船橋,曇,1,3歳八,,8,3,3,53.6,8.0,3,椿聡太,a05d9,51.0,ダ1200,,良,-10.0,1:18.4,1.5,9.0,8-7-6,36.8-40.1,40.4,463(+5),,,ウインディポイント,42.5
202543070501,ペールガッサン,牝3,3,1,2025/06/06,船橋,晴,1,3歳七,,11,8,10,111.0,10.0,8,椿聡太,a05d9,51.0,ダ1200,,良,-6.0,1:20.5,4.1,-15.0,8-9-10,37.1-39.3,41.2,458(0),,,プロデッツァ,
202543070501,ペールガッサン,牝3,3,1,2025/05/09,船橋,曇,1,3歳七,,11,6,6,132.3,9.0,10,山崎誠士,05365,54.0,ダ1200,,良,-7.0,1:21.5,4.2,-30.0,11-11-11,37.0-40.3,42.4,計不,,,ザーシッダレイ,
202543070501,ペールガッサン,牝2,3,1,2025/04/04,船橋,晴,1,3歳九　未出走(未出走),,6,4,4,73.7,5.0,4,山本聡紀,a02b0,54.0,ダ1200,,重,0.0,1:21.0,4.3,-16.0,5-6-5,38.0-38.7,41.9,451(-6),,,キングオブザヒル,30.0
202543070501,ペールガッサン,牝2,3,1,2025/03/14,船橋,晴,1,3歳八　未出走(未出走),,9,4,4,139.4,8.0,8,山本聡紀,a02b0,54.0,ダ1200,,良,10.0,1:20.9,3.5,-5.0,6-7-8,36.8-40.6,41.9,457(0),,,ジーンセンスルース,
202543070501,ケンヴァイオレット,牝3,4,0,2025/07/05,船橋,曇,1,3歳八,,8,6,6,19.3,4.0,4,所蛍,a050f,52.0,ダ1200,,良,-10.0,1:18.4,1.5,9.0,4-5-4,36.8-40.1,41.0,383(-1),,,ウインディポイント,25.5
202543070501,ケンヴァイオレット,牝3,4,0,2025/06/06,船橋,晴,1,3歳七,,11,2,2,74.4,9.0,7,所蛍,a050f,52.0,ダ1200,,良,-6.0,1:20.4,4.0,-14.0,6-8-5,37.1-39.3,41.7,384(+4),,,プロデッツァ,
202543070501,ケンヴァイオレット,牝3,4,0,2025/05/09,船橋,曇,1,3歳七,,11,7,9,62.3,8.0,7,木間塚龍,05607,54.0,ダ1200,,良,-7.0,1:20.6,3.3,-18.0,7-6-6,37.0-40.3,42.7,380(0),,,ザーシッダレイ,
202543070501,オヨメサンバ,牝3,5,0,2025/07/05,船橋,曇,1,3歳八,,8,7,7,32.6,5.0,5,臼井健太,05554,54.0,ダ1200,,良,-10.0,1:18.5,1.6,8.0,5-4-5,36.8-40.1,41.1,445(-7),,,ウインディポイント,17.0
202543070501,オヨメサンバ,牝3,5,0,2025/05/09,船橋,曇,1,3歳七,,11,1,1,142.9,10.0,9,仲野光馬,05618,54.0,ダ1200,,良,-7.0,1:21.2,3.9,-26.0,2-4-4,37.0-40.3,43.7,452(-6),,,ザーシッダレイ,
202543070501,オヨメサンバ,牝2,5,0,2025/04/04,船橋,晴,2,3歳八,,12,5,6,316.9,11.0,10,仲野光馬,05618,54.0,ダ1200,,重,0.0,1:22.7,5.1,-39.0,7-8-7,36.8-40.8,43.6,458(+3),,,マクマード,
202543070501,オヨメサンバ,牝2,5,0,2025/03/14,船橋,晴,3,3歳七,,10,8,10,120.8,10.0,7,秋元耕成,05347,54.0,ダ1200,,良,10.0,1:21.1,2.8,-8.0,5-5-5,37.5-40.8,42.5,455(-5),,,ノボザドリーム,
202543070501,オヨメサンバ,牝2,5,0,2024/09/26,船橋,曇,2,2歳六,,8,5,5,87.2,8.0,8,山口達弥,a01fb,54.0,ダ1200,,良,0.0,1:23.6,5.2,-51.0,3-5-6,37.8-40.6,45.2,460(-5),,,アダマスネロ,
202543070501,オヨメサンバ,牝2,5,0,2024/08/30,船橋,曇,5,ハイビスカスデビュー(2歳),,5,2,2,65.6,5.0,5,山口達弥,a01fb,54.0,ダ1200,,不,6.0,1:25.0,6.6,-64.0,4-4-4,36.9-41.5,45.8,465(0),,,ヨシヒロ,41.0
202543070501,モチユキ,牝3,6,0,2025/07/05,船橋,曇,1,3歳八,,8,8,8,36.5,7.0,6,實川純一,a01f6,54.0,ダ1200,,良,-10.0,1:19.8,2.9,-10.0,7-8-8,36.8-40.1,41.8,505(-14),,,ウインディポイント,
202543070501,モチユキ,牝2,6,0,2025/02/13,船橋,晴,1,3歳六,,11,4,4,245.5,11.0,11,臼井健太,05554,54.0,ダ1200,,良,-2.0,1:27.8,8.9,-110.0,11-11-11,36.6-42.3,46.4,519(-5),,,プレストエマ,
202543070501,モチユキ,牝2,6,0,2025/01/24,船橋,晴,1,茨城の銘柄和牛常陸牛(3歳),,10,6,6,113.3,10.0,10,臼井健太,05554,54.0,ダ1200,,良,-8.0,1:21.1,3.8,-26.0,9-9-8,37.5-39.8,41.9,524(-6),,,バンガレット,
202543070501,モチユキ,牝2,6,0,2024/12/20,船橋,曇,2,ポインセチアデビュー(新馬)(2歳),,6,3,3,48.6,5.0,5,臼井健太,05554,54.0,ダ1000,,良,9.0,1:07.4,4.9,-23.0,5-5,36.2-38.6,41.5,530(0),,,リュウノコルサ,41.0
202543070501,シュヴァルツボーイ,牡3,7,0,2025/07/05,船橋,曇,1,3歳八,,8,1,1,36.2,6.0,7,藤原幹生,05521,56.0,ダ1200,,良,-10.0,1:20.1,3.2,-14.0,6-6-7,36.8-40.1,42.3,504(+15),,,ウインディポイント,
202543070501,シュヴァルツボーイ,牡3,7,0,2025/06/06,船橋,晴,1,3歳七,,11,4,4,10.5,6.0,11,西啓太,a02d7,56.0,ダ1200,,良,-6.0,1:22.1,5.7,-37.0,4-4-4,37.1-39.3,44.4,489(-5),,,プロデッツァ,
202543070501,シュヴァルツボーイ,牡3,7,0,2025/05/09,船橋,曇,1,3歳七,,11,4,4,20.4,6.0,8,山中悠希,05598,56.0,ダ1200,,良,-7.0,1:20.7,3.4,-19.0,9-10-9,37.0-40.3,42.0,494(0),,,ザーシッダレイ,
