scope,race_id,bet_type,horse_pair,model_prob,market_prob_open,ev_ratio_open,no_bet_reason,market_prob_close
central_dirt,202507050211,place,12,0.357333,0.195015,0.500267,ev_below_threshold,
central_dirt,202507050211,place,8,0.264333,0.118705,0.607967,ev_below_threshold,
central_dirt,202507050211,place,2,0.259,0.107067,0.66045,ev_below_threshold,
central_dirt,202507050211,place,9,0.246,0.101119,0.6642,ev_below_threshold,
central_dirt,202507050211,place,16,0.239333,0.082734,0.7898,ev_below_threshold,
central_dirt,202507050211,place,11,0.237333,0.088071,0.735733,ev_below_threshold,
central_dirt,202507050211,place,7,0.220333,0.081499,0.738117,ev_below_threshold,
central_dirt,202507050211,wide,12-8,0.069333,0.065746,0.273867,ev_below_threshold,
central_dirt,202507050211,wide,12-9,0.068667,0.059022,0.302133,ev_below_threshold,
central_dirt,202507050211,wide,12-11,0.067,0.042227,0.41205,ev_below_threshold,
central_dirt,202507050211,wide,12-7,0.059333,0.038191,0.403467,ev_below_threshold,
central_dirt,202507050211,wide,8-11,0.045333,0.0265,0.444267,ev_below_threshold,
central_dirt,202507050211,wide,2-9,0.047667,0.017667,0.7007,ev_below_threshold,
central_dirt,202507050211,wide,2-16,0.044333,0.017667,0.6517,ev_below_threshold,
central_dirt,202507050211,wide,2-11,0.040667,0.019526,0.540867,ev_below_threshold,
central_dirt,202507050211,wide,2-7,0.043333,0.015367,0.732333,ev_below_threshold,
central_dirt,202507050211,wide,9-11,0.046667,0.016181,0.749,ev_below_threshold,
central_dirt,202507050211,wide,9-7,0.039667,0.023717,0.43435,ev_below_threshold,
central_dirt,202507050211,wide,16-11,0.043667,0.013116,0.8646,ev_below_threshold,
central_dirt,202507050211,wide,16-7,0.038333,0.014468,0.688083,ev_below_threshold,
central_dirt,202506050110,place,3,0.408333,0.192168,0.592083,ev_below_threshold,
central_dirt,202506050110,place,10,0.385,0.159225,0.67375,ev_below_threshold,
central_dirt,202506050110,place,4,0.358,0.150618,0.6623,ev_below_threshold,
central_dirt,202506050110,place,11,0.328,0.123842,0.738,ev_below_threshold,
central_dirt,202506050110,place,1,0.307,0.105149,0.81355,ev_below_threshold,
central_dirt,202506050110,place,7,0.299333,0.085737,0.972833,ev_below_threshold,
central_dirt,202506050110,wide,3-4,0.119667,0.103848,0.299167,ev_below_threshold,
central_dirt,202506050110,wide,3-11,0.102667,0.068321,0.390133,ev_below_threshold,
central_dirt,202506050110,wide,3-7,0.094667,0.035564,0.691067,ev_below_threshold,
central_dirt,202506050110,wide,3-5,0.076333,0.02853,0.694633,ev_below_threshold,
central_dirt,202506050110,wide,3-6,0.070667,0.024377,0.7526,ev_below_threshold,
central_dirt,202506050110,wide,10-4,0.103667,0.045151,0.596083,ev_below_threshold,
central_dirt,202506050110,wide,10-11,0.108,0.040566,0.6912,ev_below_threshold,
central_dirt,202506050110,wide,4-8,0.033333,0.008361,1.035,ev_below_threshold,
central_dirt,202506050110,wide,11-8,0.029,0.003613,2.08365,hit_below_threshold,
central_dirt,202506050110,wide,5-8,0.026333,0.001623,4.212017,hit_below_threshold,
central_dirt,202506050110,wide,6-8,0.020333,0.001765,2.991033,hit_below_threshold,
central_dirt,202509050110,place,3,0.347667,0.184471,0.5215,ev_below_threshold,
central_dirt,202509050110,place,14,0.335667,0.153726,0.6042,ev_below_threshold,
central_dirt,202509050110,place,5,0.319,0.131765,0.6699,ev_below_threshold,
central_dirt,202509050110,place,2,0.27,0.100621,0.7425,ev_below_threshold,
central_dirt,202509050110,place,4,0.255333,0.117748,0.600033,ev_below_threshold,
central_dirt,202509050110,place,15,0.252333,0.093799,0.744383,ev_below_threshold,
central_dirt,202509050110,wide,3-14,0.093667,0.070402,0.346567,ev_below_threshold,
central_dirt,202509050110,wide,3-5,0.090667,0.058536,0.403467,ev_below_threshold,
central_dirt,202509050110,wide,3-2,0.076667,0.054839,0.364167,ev_below_threshold,
central_dirt,202509050110,wide,3-4,0.063667,0.05316,0.311967,ev_below_threshold,
central_dirt,202509050110,wide,3-15,0.065667,0.035929,0.476083,ev_below_threshold,
central_dirt,202509050110,wide,3-9,0.056333,0.017366,0.845,ev_below_threshold,
central_dirt,202509050110,wide,3-11,0.047,0.015278,0.80135,ev_below_threshold,
central_dirt,202509050110,wide,3-10,0.037333,0.010654,0.9128,ev_below_threshold,
central_dirt,202509050110,wide,3-7,0.03,0.007822,0.999,ev_below_threshold,
central_dirt,202509050110,wide,14-5,0.079667,0.038307,0.541733,ev_below_threshold,
central_dirt,202509050110,wide,14-2,0.068,0.03748,0.4726,ev_below_threshold,
central_dirt,202509050110,wide,14-4,0.069333,0.042014,0.429867,ev_below_threshold,
central_dirt,202509050110,wide,14-15,0.065,0.049148,0.3445,ev_below_threshold,
central_dirt,202509050110,wide,14-9,0.054667,0.016434,0.866467,ev_below_threshold,
central_dirt,202509050110,wide,14-10,0.041333,0.011976,0.899,ev_below_threshold,
central_dirt,202509050110,wide,14-7,0.023667,0.007358,0.8378,ev_below_threshold,
central_dirt,202509050110,wide,5-15,0.061333,0.021178,0.7544,ev_below_threshold,
