scope,race_id,bet_type,horse_pair,model_prob,market_prob_open,ev_ratio_open,no_bet_reason,market_prob_close
central_turf,202509050210,place,17,0.328,0.137439,0.6396,ev_below_threshold,
central_turf,202509050210,place,6,0.311667,0.153146,0.545417,ev_below_threshold,
central_turf,202509050210,place,12,0.283,0.082463,0.91975,ev_below_threshold,
central_turf,202509050210,place,9,0.275,0.092416,0.7975,ev_below_threshold,
central_turf,202509050210,wide,17-6,0.078333,0.062116,0.325083,ev_below_threshold,
central_turf,202509050210,wide,17-12,0.077667,0.02455,0.8155,ev_below_threshold,
central_turf,202509050210,wide,17-9,0.065,0.032838,0.51025,ev_below_threshold,
central_turf,202509050210,wide,17-16,0.057333,0.019603,0.753933,ev_below_threshold,
central_turf,202506050109,place,8,0.482,0.212716,0.6266,ev_below_threshold,
central_turf,202506050109,place,1,0.435333,0.190711,0.631233,ev_below_threshold,
central_turf,202506050109,place,5,0.345,0.158018,0.60375,ev_below_threshold,
central_turf,202506050109,wide,8-5,0.130667,0.096582,0.3528,ev_below_threshold,
central_turf,202506050109,wide,1-5,0.118667,0.068624,0.450933,ev_below_threshold,
central_turf,202506050109,wide,1-10,0.111667,0.028814,1.010583,ev_below_threshold,
central_turf,202506050111,place,7,0.379667,0.159001,0.645433,ev_below_threshold,
central_turf,202506050111,place,3,0.344,0.154458,0.602,ev_below_threshold,
central_turf,202506050111,place,11,0.306333,0.115022,0.719883,ev_below_threshold,
central_turf,202506050111,place,14,0.295333,0.100112,0.7974,ev_below_threshold,
central_turf,202506050111,place,4,0.271667,0.076141,0.964417,ev_below_threshold,
central_turf,202506050111,place,10,0.267667,0.076141,0.950217,ev_below_threshold,
central_turf,202506050111,place,1,0.255,0.08191,0.8415,ev_below_threshold,
central_turf,202506050111,place,12,0.209,0.062138,0.90915,ev_below_threshold,
central_turf,202506050111,place,8,0.150333,0.055164,0.736633,ev_below_threshold,
central_turf,202506050111,wide,7-14,0.09,0.040839,0.5715,ev_below_threshold,
central_turf,202506050111,wide,7-1,0.075667,0.024816,0.790717,ev_below_threshold,
central_turf,202506050111,wide,7-12,0.054,0.020913,0.6696,ev_below_threshold,
central_turf,202506050111,wide,7-8,0.041333,0.018392,0.5828,ev_below_threshold,
central_turf,202506050111,wide,3-14,0.083667,0.038706,0.560567,ev_below_threshold,
central_turf,202506050111,wide,3-1,0.065333,0.022949,0.738267,ev_below_threshold,
central_turf,202506050111,wide,3-12,0.052,0.018523,0.728,ev_below_threshold,
central_turf,202506050111,wide,3-8,0.037333,0.017005,0.569333,ev_below_threshold,
central_turf,202506050111,wide,11-14,0.071667,0.025177,0.738167,ev_below_threshold,
