scope,race_id,bet_type,horse_pair,model_prob,market_prob_open,ev_ratio_open,no_bet_reason,market_prob_close
local,202655010403,wide,2-8,0.027,0.006267,4.308123,hit_below_threshold,
local,202655010403,wide,4-8,0.009667,0.004315,2.240083,hit_below_threshold,
local,202655010404,place,5,0.131667,0.140105,0.939772,ev_below_threshold,
local,202655010404,wide,10-5,0.061333,0.063404,0.967339,ev_below_threshold,
local,202655010409,place,2,0.673667,0.229135,0.842083,ev_below_threshold,
local,202655010409,place,9,0.439667,0.204584,0.615533,ev_below_threshold,
local,202655010409,place,1,0.259667,0.139716,0.532317,ev_below_threshold,
local,202655010409,place,10,0.098333,0.029528,0.953833,ev_below_threshold,
local,202655010409,wide,6-9,0.269333,0.072587,0.956133,ev_below_threshold,
local,202655010409,wide,2-9,0.235667,0.147247,0.412417,ev_below_threshold,
local,202655010409,wide,2-1,0.122,0.119852,0.2623,ev_below_threshold,
local,202655010409,wide,2-10,0.047667,0.012013,1.02245,ev_below_threshold,
local,202655010409,wide,9-1,0.076333,0.088856,0.221367,ev_below_threshold,
local,202655010409,wide,9-10,0.024,0.008272,0.7476,ev_below_threshold,
local,202655010409,wide,1-10,0.013,0.006293,0.53235,ev_below_threshold,
local,202648010506,place,11,0.409,0.220286,0.5317,ev_below_threshold,
local,202648010506,place,1,0.364667,0.260338,0.401133,ev_below_threshold,
local,202648010506,place,5,0.301,0.114549,0.7525,ev_below_threshold,
local,202648010506,wide,11-1,0.119,0.206469,0.14875,ev_below_threshold,
local,202648010506,wide,11-9,0.098333,0.068823,0.36875,ev_below_threshold,
local,202648010506,wide,11-5,0.096,0.053214,0.4656,ev_below_threshold,
local,202648010506,wide,11-8,0.077667,0.046502,0.43105,ev_below_threshold,
local,202648010506,wide,11-3,0.075,0.027751,0.6975,ev_below_threshold,
local,202648010506,wide,9-5,0.073,0.020898,0.90155,ev_below_threshold,
local,202648010506,wide,9-8,0.049,0.019626,0.64435,ev_below_threshold,
local,202648010506,wide,5-3,0.046,0.01608,0.7383,ev_below_threshold,
local,202648010506,wide,8-3,0.039333,0.010323,0.983333,ev_below_threshold,
local,202648010506,pass,,,,1.026105,pass_gate,
local,202648010504,place,7,0.519,0.238078,0.6228,ev_below_threshold,
local,202648010504,place,3,0.502333,0.184319,0.778617,ev_below_threshold,
local,202648010504,place,10,0.391,0.228555,0.48875,ev_below_threshold,
local,202648010504,place,2,0.370667,0.136045,0.7784,ev_below_threshold,
local,202648010504,wide,7-10,0.170667,0.162327,0.273067,ev_below_threshold,
local,202648010504,wide,7-2,0.146667,0.120802,0.315333,ev_below_threshold,
local,202648010504,wide,3-10,0.156,0.06926,0.585,ev_below_threshold,
local,202648010504,wide,3-2,0.154,0.05143,0.7777,ev_below_threshold,
local,202648010504,pass,,,,0.52235,pass_gate,
local,202648010507,place,4,0.487,0.255807,0.5357,ev_below_threshold,
local,202648010507,place,5,0.418667,0.19406,0.607067,ev_below_threshold,
local,202648010507,place,11,0.353333,0.170538,0.583,ev_below_threshold,
local,202648010507,place,6,0.294333,0.086581,0.956583,ev_below_threshold,
local,202648010507,wide,4-11,0.147333,0.133941,0.279933,ev_below_threshold,
local,202648010507,wide,4-9,0.104333,0.065253,0.4069,ev_below_threshold,
local,202648010507,wide,5-11,0.117,0.071687,0.41535,ev_below_threshold,
local,202655010508,place,5,0.525333,0.212229,0.682933,ev_below_threshold,
local,202655010508,place,3,0.397667,0.19707,0.556733,ev_below_threshold,
local,202655010508,place,4,0.286333,0.145209,0.544033,ev_below_threshold,
local,202655010508,wide,5-3,0.178,0.148652,0.3026,ev_below_threshold,
local,202655010508,wide,5-6,0.149,0.054937,0.6854,ev_below_threshold,
local,202655010508,wide,5-10,0.149333,0.061636,0.612267,ev_below_threshold,
