horse_no_a,horse_no_b,odds_low,odds_high,odds_mid
1,2,121.7,125.4,123.55
1,3,160.3,163.2,161.75
1,4,63.8,78.0,70.9
1,5,420.6,425.6,423.1
1,6,44.4,54.2,49.3
1,7,621.7,625.1,623.4
1,8,324.7,329.6,327.15
1,9,79.6,89.3,84.45
1,10,234.0,237.7,235.85
1,11,84.5,91.5,88.0
1,12,138.7,148.3,143.5
2,3,64.9,67.7,66.3
2,4,7.7,9.5,8.6
2,5,93.5,97.0,95.25
2,6,8.9,11.1,10.0
2,7,338.4,347.8,343.1
2,8,116.5,120.9,118.7
2,9,12.5,14.4,13.45
2,10,108.5,112.5,110.5
2,11,16.5,18.3,17.4
2,12,31.6,34.4,33.0
3,4,13.1,16.1,14.6
3,5,155.2,159.0,157.1
3,6,16.9,20.9,18.9
3,7,371.9,378.0,374.95
3,8,160.9,165.0,162.95
3,9,22.4,25.4,23.9
3,10,136.7,140.2,138.45
3,11,25.5,27.9,26.7
3,12,39.7,42.8,41.25
4,5,22.0,26.8,24.4
4,6,1.6,1.8,1.7
4,7,103.5,126.1,114.8
4,8,20.2,24.9,22.55
4,9,2.1,2.8,2.45
4,10,20.5,25.2,22.85
4,11,3.0,3.8,3.4
4,12,4.4,5.6,5.0
5,6,38.7,47.6,43.15
5,7,561.3,567.3,564.3
5,8,207.6,211.5,209.55
5,9,44.4,50.1,47.25
5,10,176.1,179.5,177.8
5,11,54.0,58.8,56.4
5,12,106.0,113.4,109.7
6,7,118.6,144.2,131.4
6,8,18.7,22.9,20.8
6,9,2.5,3.3,2.9
6,10,17.5,21.4,19.45
6,11,3.6,4.7,4.15
6,12,3.6,4.5,4.05
7,8,403.7,408.5,406.1
7,9,101.1,113.1,107.1
7,10,512.7,519.0,515.85
7,11,163.9,177.0,170.45
7,12,338.2,360.1,349.15
8,9,36.6,41.3,38.95
8,10,151.6,155.0,153.3
8,11,45.2,49.3,47.25
8,12,68.0,73.1,70.55
9,10,29.7,33.5,31.6
9,11,6.5,7.9,7.2
9,12,9.8,11.5,10.65
10,11,53.0,57.8,55.4
10,12,56.3,60.7,58.5
11,12,8.4,9.5,8.95
